id,texto,perfil,criado_em
1355346543528841224,"Homem pula da Ponte Hercílio Luz em Florianópolis,é resgatado por manezinhos que oferecem ajuda psicológica, dão o diagnóstico médico e criticam o trabalho dos bombeiros.
Puro suco do Brasil,com sotaque da ilha..
#VacinaParaTodos #coronavirus #VacinaJa #COVID19 https://t.co/i3Sk52clG8",viniitj,2021-01-30 02:46:11
1355346434648928261,"RT @srlm: EUA: DADOS levam a PREVER FREQUÊNCIA de clientes nas LOJAS de 40 a 55% abaixo da norma no curto prazo OU PIOR, se casos de #COVID…",yarasenger,2021-01-30 02:45:45
1355345810230304768,"Se as aulas voltaram nas escolas particulares tbm devem voltar na escola pública?

A Josi, companheira de mandato e professora da rede pública, me convenceu que não com um argumento: alunos de escola particular, em sua maioria, voltam para moradias de mais de 100 m². 
#VacinaJá",GuilhermeMazer1,2021-01-30 02:43:16
1355345791439798273,"RT @danyblu: #VacinaJa 
#COVID19 

Toma essa, babaca!  🤣🤣🤣
👇 https://t.co/ltejdPEHgd",irmaoslivreiro,2021-01-30 02:43:12
1355345123605946374,"RT @bcastro_denise: #Covid_19
 #VacinaJa 💉 https://t.co/qNMNflSRNY",WesleyRuas2,2021-01-30 02:40:33
1355344670700793858,Me lembro nas aulas de história que houve uma época que os profissionais de saúde e segurança tinha que entrar na casa das pessoas para vacina-los. Depois de quase 40 anos temos celular que desbloqueia lendo sua iris e o povo duvidando da pesquisa. #VacinaJa,RafaelaSandrii1,2021-01-30 02:38:45
1355344655844573184,"RT @srlm: EUA: DADOS levam a PREVER FREQUÊNCIA de clientes nas LOJAS de 40 a 55% abaixo da norma no curto prazo OU PIOR, se casos de #COVID…",idmeteor,2021-01-30 02:38:41
1355344447429619721,CURITIBA #PARANÁ NÃO TOMEM NÃO  #VacinaJa #Bolsonaro TEM #RAZÃO  VOCÊS  VÃO  FICAR COM A CARA DA BUMDA DO CHIMPANZÉS aí vamos saber  que você  são #gado  (deixa para os comunistas ),OPandamaria5,2021-01-30 02:37:52
1355342026729017344,"RT @CangaceiroNetto: Carreatas e Bicicletadas por todo o país. 
#ForaBolsonaro 
#VacinaJa
#VoltaAuxilioEmergencial

Quem vai? https://t.co/…",MVM_News,2021-01-30 02:28:14
1355341640857219074,Eu se fosse  @jdoriajr  não  dava atenção  para #RATINHO de esgoto  e  #BOLSONARO Genocida #VacinaJa,OPandamaria5,2021-01-30 02:26:42
1355341563740573697,@jdoriajr Acelera a vacinação!!!!,VacinaJa,2021-01-30 02:26:24
1355340542926852104,"RT @governosp: #VacinaJá 💉 A partir do dia 8 de fevereiro, o estado de São Paulo começa a vacinar idosos acima de 90 anos de idade, grupo f…",Rosinei34999041,2021-01-30 02:22:21
1355340312961540099,RT @jdoriajr: Governo de SP inicia a vacinação dos idosos com mais de 85 anos. No site https://t.co/Ouup4KL29w é possível fazer o pré-cadas…,MarisaOSantos,2021-01-30 02:21:26
1355339403896434692,"@RevistaISTOE #QueremosImpeachment
#ImpeachmentSalvaVidas
#ForaBolsonaro 
#VacinaJa
𝐈𝐌𝐏𝐄𝐀𝐂𝐇𝐌𝐄𝐍𝐓 𝐁𝐎𝐋𝐒𝐎𝐍𝐀𝐑𝐎
𝐈𝐌𝐏𝐄𝐀𝐂𝐇𝐌𝐄𝐍𝐓 𝐁𝐎𝐋𝐒𝐎𝐍𝐀𝐑𝐎",Candy1Hardy,2021-01-30 02:17:49
1355339260442902530,"Dr. Luís Carlos de Souza Ferreira, atual diretor do Instituto de Ciências Biomédicas da USP e responsável pelo Laboratório de Desenvolvimento de Vacinas para debater sobre o papel do Brasil no cenário das vacinas. #vacinaparatodos #vacinação #VacinaJa
https://t.co/50YXY4L2Q8",LuisFMSass,2021-01-30 02:17:15
1355339182919610370,"@Divergente1977 @AFernandes @Estadao E juntos a campanha :
#QueremosImpeachment
#ImpeachmentSalvaVidas
#ForaBolsonaro 
#VacinaJa
𝐈𝐌𝐏𝐄𝐀𝐂𝐇𝐌𝐄𝐍𝐓 𝐁𝐎𝐋𝐒𝐎𝐍𝐀𝐑𝐎
𝐈𝐌𝐏𝐄𝐀𝐂𝐇𝐌𝐄𝐍𝐓 𝐁𝐎𝐋𝐒𝐎𝐍𝐀𝐑𝐎",Candy1Hardy,2021-01-30 02:16:56
1355338761714991106,"Brasil tem a maior média de óbitos em 6 meses: 1.068.
#drdecioqtfilho #coronavirus #covid-19 
#vacinaja 
https://t.co/irzPy12aPD via @UOLNoticias @UOL",drdecioqtfilho,2021-01-30 02:15:16
1355338737480331268,"@mariosabinof O EX Presidiário resolveremos depois...
Agora é hora de :
#QueremosImpeachment
#ImpeachmentSalvaVidas
#ForaBolsonaro 
#VacinaJa
𝐈𝐌𝐏𝐄𝐀𝐂𝐇𝐌𝐄𝐍𝐓 𝐁𝐎𝐋𝐒𝐎𝐍𝐀𝐑𝐎
𝐈𝐌𝐏𝐄𝐀𝐂𝐇𝐌𝐄𝐍𝐓 𝐁𝐎𝐋𝐒𝐎𝐍𝐀𝐑𝐎 https://t.co/GsKw6JPCFl",Candy1Hardy,2021-01-30 02:15:10
1355338598011330567,"RT @randolfeap: VENCEMOS! A vida NÃO PODE ESPERAR! Graças à nossa pressão, consolidada inclusive através de nossa ação no STF, o Governo ir…",MaribelSmith,2021-01-30 02:14:37
1355338341592526849,"@DaniloGentili #QueremosImpeachment
#ImpeachmentSalvaVidas
#ForaBolsonaro 
#VacinaJa
𝐈𝐌𝐏𝐄𝐀𝐂𝐇𝐌𝐄𝐍𝐓 𝐁𝐎𝐋𝐒𝐎𝐍𝐀𝐑𝐎
𝐈𝐌𝐏𝐄𝐀𝐂𝐇𝐌𝐄𝐍𝐓 𝐁𝐎𝐋𝐒𝐎𝐍𝐀𝐑𝐎",Candy1Hardy,2021-01-30 02:13:36
1355337937035079683,"@PaiAsnoDecider GESUIS ! QUEQUÉISSO ??? hahahahhahaha
#QueremosImpeachment
#ImpeachmentSalvaVidas
#ForaBolsonaro 
#VacinaJa
𝐈𝐌𝐏𝐄𝐀𝐂𝐇𝐌𝐄𝐍𝐓 𝐁𝐎𝐋𝐒𝐎𝐍𝐀𝐑𝐎
𝐈𝐌𝐏𝐄𝐀𝐂𝐇𝐌𝐄𝐍𝐓 𝐁𝐎𝐋𝐒𝐎𝐍𝐀𝐑𝐎",Candy1Hardy,2021-01-30 02:11:59
1355337922153742338,Vacina da Sinovac conseguiu neutralizar mutações do novo coronavírus | J... https://t.co/S4yJ0Ldnww @jdoriajr #CoronaVac #Sinovac #VacinaJa #VacinaParaTodos,catuaeale,2021-01-30 02:11:56
1355337428786143233,"#QueremosImpeachment
#ImpeachmentSalvaVidas
#ForaBolsonaro 
#VacinaJa
𝐈𝐌𝐏𝐄𝐀𝐂𝐇𝐌𝐄𝐍𝐓 𝐁𝐎𝐋𝐒𝐎𝐍𝐀𝐑𝐎
𝐈𝐌𝐏𝐄𝐀𝐂𝐇𝐌𝐄𝐍𝐓 𝐁𝐎𝐋𝐒𝐎𝐍𝐀𝐑𝐎 https://t.co/cVZzMMrPXl",Candy1Hardy,2021-01-30 02:09:58
1355337120731246593,Mais uma vacina!! Notícia ótima. #VacinaJa https://t.co/v69o4TJQyj,gustavomachado,2021-01-30 02:08:45
1355337035859505156,"RT @dogarrett: RESULTADOS DA JOHNSON &amp; JOHNSON/JANSEN
Eficácia de 72% nos EUA e 57% na África do Sul. Isso confirma o escape ao imunizante…",thisistata,2021-01-30 02:08:24
1355336940162338816,"Entenda: por não prever dose de reforço e já ser testada no país, vacina da J&amp;J é boa notícia para vacinação no Brasil; a eficácia global é de 66%, segundo nota da farmacêutica.
#VacinaParaTodos #VacinaJa

https://t.co/1KdAFBwzAR",janetelimelo,2021-01-30 02:08:02
1355336614634000384,@CNNBrasil #VacinaJá,vacina_urgente,2021-01-30 02:06:44
